flood_risk_3yr,weather_forecast_risk,aqi_forecast,strike_frequency,avg_weekly_earnings,tenure_weeks,past_claims_count,premium_target
16.08,21.48,64.37,0.07,4016.41,76,3,38.62
71.16,56.61,6.69,4.66,5279.38,90,0,63.72
22.29,56.25,96.33,4.62,6948.07,18,14,62.67
99.09,69.02,33.82,1.46,6342.3,87,7,54.48
6.48,43.01,94.87,3.49,6576.08,59,5,51.74
51.46,4.76,25.27,1.43,7938.39,26,4,46.67
81.37,69.36,99.31,4.02,5928.66,55,9,65.64
47.79,91.88,99.47,3.66,7681.03,41,8,63.37
71.76,60.4,39.92,0.72,3134.55,42,12,49.92
4.06,54.17,52.61,3.06,6082.72,36,5,50.08
40.44,73.85,63.81,4.76,7219.16,75,2,68.18
73.6,33.08,48.0,4.07,5561.69,40,11,64.81
81.17,61.68,12.45,0.22,7816.57,75,1,41.78
82.74,20.36,3.73,1.28,6655.61,22,3,49.61
4.0,60.61,42.25,1.58,7972.87,56,7,43.81
81.87,55.58,14.15,1.51,5405.98,104,8,51.75
91.28,12.09,62.9,0.18,4890.43,43,9,48.05
11.5,97.69,13.37,4.12,7751.48,24,3,60.68
93.0,81.5,64.35,2.46,3680.94,66,11,58.06
22.76,16.75,76.71,2.54,3526.87,83,8,44.45
12.48,51.77,78.79,2.06,3050.46,78,14,49.69
82.48,50.9,83.94,3.97,4984.05,15,15,67.87
32.63,59.36,80.81,1.04,7766.19,63,11,47.27
75.78,61.62,96.62,1.65,4367.09,41,13,56.54
5.74,1.35,30.63,3.59,3992.31,44,10,50.97
64.24,57.42,25.22,0.83,3221.41,40,13,53.39
9.03,20.01,18.99,2.42,4007.12,50,4,44.75
86.7,34.67,68.83,1.69,5347.32,84,14,53.05
97.8,71.14,66.54,1.82,7159.63,34,12,60.83
70.77,86.37,65.25,1.42,3915.88,80,2,55.24
44.73,95.54,99.58,3.56,3310.69,15,7,63.17
77.4,79.58,99.4,0.43,7931.81,6,3,58.89
74.38,41.64,84.69,2.71,4952.92,97,8,55.99
7.51,98.78,29.71,2.27,4039.48,24,7,50.85
53.16,26.67,30.07,0.0,5052.24,17,13,46.34
49.9,75.16,64.86,4.43,5435.96,25,3,66.65
47.14,94.6,14.54,0.78,7683.59,21,11,47.97
94.77,62.63,98.72,0.11,3288.06,78,7,52.62
33.48,63.9,75.51,1.83,5464.83,38,12,48.85
8.69,17.97,40.3,4.03,5533.17,15,14,55.29
16.02,37.49,42.37,4.0,6068.82,11,12,58.2
6.0,38.95,17.01,0.59,7556.71,37,0,33.59
88.08,49.99,76.77,2.18,3080.87,104,13,55.48
89.33,66.46,42.76,2.41,4772.32,0,9,58.59
32.45,94.25,5.63,0.15,3077.7,42,14,42.46
32.02,25.84,90.72,0.21,7393.97,92,13,44.53
3.0,74.02,37.51,4.1,7045.96,55,7,59.83
73.67,33.9,51.86,0.61,4840.84,46,13,51.34
63.73,63.29,93.32,0.64,6204.31,24,14,52.7
30.43,7.85,70.36,4.47,4174.63,53,5,52.74
60.18,26.94,26.12,4.73,7376.26,101,0,60.92
42.98,15.69,21.11,4.94,7571.02,82,4,60.08
55.28,11.33,13.2,0.01,7920.48,80,7,37.81
9.33,58.14,80.12,3.01,7758.41,59,4,53.22
66.81,12.22,66.11,4.37,6940.69,39,0,61.24
6.45,68.0,16.34,0.14,4132.42,50,5,34.44
91.62,12.29,44.98,3.27,4196.76,82,8,62.52
90.22,5.09,24.61,3.32,6976.12,47,14,59.87
19.02,59.76,82.59,1.67,6560.82,29,5,47.3
46.93,85.89,0.96,4.95,5527.33,4,7,66.99
9.2,58.72,55.93,3.15,4130.33,93,10,52.41
73.25,23.1,33.27,1.24,4073.0,33,9,50.28
57.11,19.88,19.08,1.64,4775.04,87,9,50.26
69.92,91.98,38.59,3.04,3166.56,24,8,63.14
42.28,4.95,33.19,3.61,4479.15,71,13,47.39
82.31,33.21,65.39,2.83,4365.5,94,2,51.68
12.19,76.74,27.11,1.23,3902.51,59,7,47.6
73.05,36.8,81.97,4.55,7223.8,34,15,64.8
94.07,17.02,25.98,3.96,6628.95,90,13,61.84
7.43,46.54,10.8,1.54,6668.14,51,8,42.61
73.45,10.34,67.16,4.9,3768.05,14,1,62.48
58.02,14.28,42.67,3.88,3739.83,92,1,59.21
54.54,7.85,53.88,2.81,4423.15,55,10,49.34
69.09,37.75,62.38,4.09,5630.67,85,0,60.1
81.89,34.94,4.58,4.44,5932.93,18,12,64.74
14.81,61.27,0.92,4.74,3853.62,80,13,58.1
29.28,59.35,64.07,3.91,3941.42,52,14,56.45
47.22,85.2,78.52,1.11,6716.61,24,8,56.02
24.02,11.36,4.76,2.04,4897.98,6,10,43.38
1.93,22.68,13.91,4.45,5097.56,43,0,51.29
65.38,89.22,97.81,1.34,5477.09,34,9,55.07
33.07,80.63,86.76,4.36,7315.72,13,8,68.08
88.88,34.88,71.37,0.56,5214.98,74,8,49.68
89.29,67.93,79.78,3.14,7500.26,74,7,62.96
78.6,70.47,75.89,0.3,6766.12,28,7,54.2
67.85,35.27,21.39,3.17,4965.51,96,14,54.82
64.25,12.13,80.08,0.46,5511.95,19,9,44.56
38.28,7.83,12.93,3.77,3621.65,55,2,49.93
19.23,42.71,67.39,3.81,7205.98,7,5,60.91
92.53,23.87,3.23,0.16,3226.91,12,2,44.57
83.27,40.71,25.26,4.94,6331.25,57,3,65.02
33.84,30.45,91.46,2.58,5917.47,82,2,51.91
22.05,89.26,87.95,4.04,5408.82,70,7,62.97
89.17,31.13,3.89,1.17,7933.09,33,13,52.0
88.94,42.95,42.01,1.03,7646.09,6,6,54.35
43.58,69.11,91.55,2.22,6429.72,69,13,54.71
3.12,9.5,34.36,4.74,6427.08,44,15,57.53
2.27,3.07,4.67,3.4,3870.31,43,11,45.44
22.93,20.7,86.11,0.09,4047.84,10,1,42.1
6.88,81.63,84.77,1.26,7472.3,91,8,45.47
33.39,92.27,52.71,2.17,5278.33,82,2,52.64
99.3,94.57,53.18,4.85,4596.85,51,6,70.83
47.45,63.66,61.25,0.74,6299.69,77,12,52.28
26.36,74.9,43.96,1.5,7732.55,94,10,46.41
74.67,64.09,4.97,0.09,5902.88,82,11,44.14
4.92,7.0,91.42,1.99,7090.38,67,4,43.5
65.87,32.78,90.73,0.85,4000.7,96,11,51.72
96.59,46.92,36.65,1.21,4747.02,47,7,52.1
67.15,46.85,65.94,4.17,3976.2,31,4,63.49
39.94,21.46,90.47,2.45,7647.69,32,1,51.59
28.4,49.85,22.57,0.76,3460.51,26,7,40.19
66.89,9.39,19.68,1.92,3302.55,88,11,52.06
8.2,40.16,75.6,1.21,4614.64,96,13,43.82
84.24,95.27,82.94,0.19,3254.83,3,9,55.9
56.36,26.52,90.68,0.35,6323.97,62,4,37.54
23.53,61.44,99.3,3.34,6193.32,61,6,58.19
86.47,38.63,9.4,1.54,6616.99,60,9,50.36
12.93,7.39,54.12,2.37,6153.73,72,14,44.76
23.51,22.61,60.03,1.57,7783.73,55,5,47.83
23.2,26.78,36.96,1.48,7069.09,71,4,46.45
47.54,62.71,28.02,0.51,7750.92,89,14,47.04
29.76,8.15,32.61,2.43,5706.51,88,15,47.7
83.05,50.83,59.38,2.4,4893.93,57,8,51.84
29.14,34.34,75.39,0.44,5740.87,67,2,40.58
72.11,8.98,21.24,4.11,7530.07,60,9,56.12
83.77,24.45,48.21,0.89,4518.45,66,13,45.56
71.65,73.9,87.71,0.28,3379.08,44,13,46.96
72.62,83.89,72.11,1.87,6848.11,62,10,65.51
34.66,63.39,85.79,3.43,6180.92,43,8,60.24
49.14,31.4,82.74,4.33,4236.18,4,3,68.46
81.21,31.46,8.3,1.48,6184.62,14,5,48.92
1.41,52.69,39.12,0.36,7523.09,47,0,36.06
37.34,17.43,82.72,1.77,4216.26,38,11,51.82
73.13,15.72,27.39,1.06,3753.61,20,8,44.58
17.81,7.07,62.01,4.54,6797.94,23,2,56.51
52.5,53.62,22.51,2.02,6121.84,32,2,47.56
27.98,77.46,20.13,4.27,4718.65,60,5,55.05
96.91,77.88,48.36,3.45,5868.11,56,4,63.6
79.79,54.81,47.4,2.37,4059.86,68,14,56.22
10.95,56.04,1.37,0.08,6053.09,55,0,36.14
91.96,89.17,65.77,4.62,4408.31,91,8,68.21
4.86,4.29,69.17,3.32,7567.94,92,3,49.92
14.68,54.45,56.99,0.66,3683.62,44,10,37.74
10.92,4.1,87.41,0.3,3336.54,73,14,38.11
10.15,42.67,16.9,4.12,4912.39,35,7,54.71
16.79,37.38,3.46,2.76,7299.9,100,7,49.74
5.11,74.66,85.14,3.05,5280.24,34,5,54.52
67.05,35.35,51.06,1.94,6931.35,8,13,55.92
0.34,52.03,55.86,4.19,7330.88,92,9,55.78
62.05,51.78,40.31,4.53,7303.25,27,9,67.48
1.83,27.68,6.38,0.49,5810.82,67,7,31.84
33.27,20.29,19.61,0.74,3861.0,81,7,37.91
12.63,58.05,2.53,3.2,4289.66,50,11,49.21
4.89,6.21,95.27,4.15,5288.45,24,9,57.69
12.45,75.89,76.27,4.16,4704.35,13,7,64.87
54.09,37.63,38.0,1.06,5240.85,104,5,45.95
11.64,54.47,20.41,0.87,6166.11,100,10,41.37
68.26,55.43,7.59,3.82,6214.52,65,11,59.97
56.42,18.91,83.81,3.08,4890.43,57,4,53.7
28.85,70.13,68.1,2.6,6863.5,52,15,52.74
51.06,41.58,59.14,2.38,6074.49,50,5,52.12
26.29,19.89,4.55,4.79,6099.31,13,4,56.37
96.47,87.06,17.0,2.96,3077.95,17,0,61.38
84.19,94.28,2.41,4.47,5303.6,17,14,66.84
82.74,17.45,24.25,2.22,7101.43,24,3,54.8
28.68,55.79,25.17,0.02,7015.53,62,0,37.98
55.74,41.76,66.18,0.36,6216.57,69,1,44.12
36.54,1.16,45.37,0.5,5607.93,34,5,44.8
73.32,52.9,37.85,0.9,5054.65,10,5,46.53
87.23,48.32,16.35,3.53,7637.68,54,11,61.57
0.13,96.8,25.43,0.69,6980.24,30,5,41.95
87.92,73.27,58.94,1.03,6603.49,21,14,53.94
80.51,56.83,15.01,3.19,7909.04,90,12,61.21
48.9,0.04,81.76,1.82,4218.49,7,10,52.05
16.29,24.8,99.02,0.89,7247.81,65,9,42.94
36.52,25.4,12.56,2.19,5359.4,2,11,49.25
29.4,93.52,13.14,3.06,4787.35,63,4,48.76
81.48,17.66,64.73,1.61,7918.57,96,10,52.85
21.13,32.05,88.3,0.74,6437.35,34,4,45.87
78.55,10.96,39.53,0.11,3193.25,42,6,40.34
91.05,30.58,37.85,0.03,4201.82,62,0,48.02
76.11,3.57,46.33,0.01,6904.01,5,5,48.85
59.63,75.48,18.33,1.63,7171.85,22,9,59.75
24.42,83.16,13.21,1.87,6529.73,33,7,49.32
44.63,81.78,28.18,3.38,5859.32,104,11,59.7
88.86,62.11,12.07,4.52,4403.79,99,6,65.44
38.56,54.0,0.36,4.62,5827.25,90,1,62.79
35.11,42.22,76.17,1.16,4197.09,35,6,47.86
59.17,12.71,15.6,1.98,7904.96,0,14,52.68
25.42,3.21,51.33,4.96,5321.82,48,10,60.71
2.98,27.12,21.61,1.45,6573.89,70,4,45.93
54.86,82.68,51.75,4.69,7232.86,99,9,71.33
43.02,58.24,53.38,0.09,3815.23,42,6,37.83
45.45,9.86,59.96,1.21,5943.44,73,1,42.65
61.7,90.0,38.19,1.31,5656.58,88,0,51.8
48.09,49.11,46.08,2.71,7412.54,5,7,56.27
3.1,32.59,67.68,0.66,4773.1,26,10,42.36
52.45,34.99,57.3,4.2,4516.5,50,11,60.85
76.29,18.93,94.81,3.33,3563.57,68,7,59.24
89.24,68.68,11.92,4.31,6562.92,7,15,71.45
60.87,3.7,72.28,4.27,7403.9,67,8,60.17
55.58,75.85,87.32,3.44,4542.32,97,7,62.04
88.61,83.31,32.44,4.95,5492.01,49,5,68.78
3.48,53.26,41.07,3.63,5889.13,74,3,57.62
12.48,38.65,11.59,1.52,3313.12,40,6,41.67
5.45,5.07,6.71,2.67,6772.09,7,1,46.7
17.88,94.06,25.25,0.59,6042.23,30,2,44.56
82.39,1.92,45.33,2.72,5070.52,24,9,60.45
95.68,71.28,6.25,4.28,6019.34,27,0,67.04
34.74,59.69,10.21,4.93,5772.67,31,5,62.05
73.27,3.3,79.73,3.67,3277.78,40,13,55.62
79.22,33.5,96.94,0.27,3159.61,24,8,53.31
27.68,47.67,33.79,3.63,5203.03,33,1,53.1
44.45,86.56,87.77,2.04,4123.92,103,8,53.76
61.0,11.27,17.94,0.62,5241.08,2,6,46.32
17.67,74.64,85.03,0.34,4111.56,92,3,41.87
48.47,94.11,99.3,1.94,3712.09,92,14,53.89
65.27,96.13,22.49,1.27,5103.05,10,15,52.86
48.43,98.96,83.82,2.37,4951.13,45,4,61.65
51.85,73.33,32.56,0.42,7139.55,44,9,49.92
31.15,80.6,25.97,0.11,3261.9,49,13,42.33
73.7,21.2,3.49,4.77,5800.79,8,13,63.49
50.7,20.12,30.57,3.29,5216.76,92,8,51.12
40.31,1.57,19.19,3.41,5399.83,1,14,56.37
6.92,92.78,52.54,3.28,5881.86,8,6,55.79
11.51,85.98,47.0,1.45,4667.89,82,11,44.74
1.0,43.31,79.39,4.87,6116.83,63,14,62.23
10.37,92.13,95.77,4.81,6721.63,103,14,60.14
35.66,35.08,48.52,1.03,7655.85,91,8,42.73
3.39,4.19,49.64,0.7,3568.38,71,8,34.56
77.21,22.58,46.62,1.75,3208.9,11,6,53.51
34.07,81.06,50.06,4.37,7876.3,51,2,62.39
68.87,18.41,19.64,4.02,5759.16,74,6,58.37
89.53,11.04,11.94,1.06,6076.89,78,15,48.74
52.99,49.33,38.09,3.36,4087.91,88,2,54.68
92.36,82.86,63.9,1.57,3803.04,45,5,56.25
8.16,55.95,73.21,2.54,4885.32,68,9,52.06
65.65,7.71,88.97,0.24,6780.45,60,12,44.26
12.62,49.9,21.06,1.0,5236.8,96,3,40.92
68.34,33.93,10.28,3.03,3659.61,41,1,48.69
45.32,32.77,69.18,1.39,7525.88,36,6,52.24
50.65,20.26,67.64,0.68,4086.21,93,13,47.39
96.78,52.01,18.62,3.4,3339.71,80,12,66.73
82.54,77.7,89.39,1.81,4366.51,27,8,57.77
26.98,82.51,19.31,3.18,4656.33,88,1,51.0
96.82,33.82,52.77,4.0,4049.58,78,4,61.96
69.46,38.43,4.36,2.8,4156.73,74,5,51.19
91.96,12.88,72.07,2.61,5093.28,59,11,59.97
48.77,57.99,26.29,3.43,6473.22,98,0,54.25
9.39,97.39,58.59,4.17,3080.24,22,1,57.58
38.78,2.93,76.34,0.94,5974.22,24,10,39.35
71.42,2.69,85.78,0.89,7318.79,60,8,46.79
54.85,32.0,80.06,4.81,4138.89,50,11,68.2
5.81,50.71,30.18,3.04,5573.17,32,1,45.8
1.81,77.76,90.28,3.62,3997.94,81,1,53.52
81.07,68.6,14.35,3.62,7057.56,98,15,65.97
20.95,68.08,36.28,3.98,3557.48,11,2,54.03
49.4,44.04,34.57,2.66,4552.32,88,2,49.52
24.19,48.17,24.92,0.87,3766.31,47,2,41.37
66.69,0.08,92.49,0.2,3209.96,60,0,38.45
47.13,37.72,63.09,2.85,6763.32,30,10,54.15
65.03,72.77,57.17,4.71,4054.03,56,4,63.79
68.6,7.82,88.91,2.44,3984.16,87,4,49.3
46.88,57.62,65.19,1.24,4314.31,97,0,47.8
97.82,79.63,48.56,0.47,6931.05,7,5,53.88
23.84,83.91,51.18,3.9,7213.07,40,2,56.13
46.67,1.49,86.64,4.53,4924.08,12,9,62.65
54.7,88.67,91.54,0.4,5664.97,71,1,48.51
90.78,87.09,99.21,4.99,6874.18,45,7,75.0
97.45,72.6,87.42,1.61,3197.64,76,14,58.53
88.45,22.48,34.77,0.82,5911.81,103,0,48.55
41.98,42.86,63.25,1.51,6632.11,16,10,48.58
17.31,49.07,66.68,0.24,3726.55,63,9,36.19
30.89,88.48,55.3,3.51,4135.69,65,5,59.95
23.21,16.99,15.29,3.22,4386.09,8,4,48.17
2.35,41.23,91.47,1.72,6768.94,30,15,45.21
85.62,35.29,4.12,4.66,4998.45,29,2,63.56
98.34,42.81,45.86,2.83,4969.82,21,14,64.78
29.43,40.46,91.49,0.96,5710.51,45,3,47.34
40.1,42.5,87.19,3.17,7124.3,57,7,57.9
0.05,57.21,3.61,3.56,5234.41,100,2,45.93
85.68,10.76,68.44,3.05,6696.3,67,0,56.77
34.27,54.9,41.15,0.36,6068.51,11,3,47.85
31.85,50.33,28.42,1.09,7915.34,28,15,44.81
20.39,96.31,99.25,4.78,6062.11,87,3,60.21
80.93,22.51,92.19,0.24,7184.78,104,15,47.43
76.82,69.01,51.19,3.42,5642.59,98,4,57.4
8.43,46.52,56.5,1.7,4077.95,78,8,42.21
46.58,34.56,29.89,0.7,4598.0,67,14,45.31
16.96,74.95,27.28,3.08,5595.52,53,3,53.98
7.28,12.74,81.08,4.48,5844.6,90,0,51.74
88.05,37.76,98.29,0.06,7810.22,41,13,52.88
39.12,46.08,29.94,3.98,3393.03,41,11,51.48
48.54,45.81,76.1,2.39,4286.85,9,10,53.29
35.22,19.46,69.97,4.71,5169.5,38,15,61.69
91.03,71.5,98.09,0.36,3428.11,54,8,57.83
5.07,39.65,95.01,4.25,4322.62,42,13,57.51
91.9,12.74,42.33,1.2,5501.99,12,9,51.85
46.46,12.37,88.03,1.73,5699.22,4,14,52.15
10.9,91.05,87.8,3.46,6594.22,33,10,59.88
94.14,85.57,81.14,4.84,3929.64,2,0,75.0
40.19,73.75,99.53,0.77,4033.61,31,12,49.89
13.57,31.57,77.07,4.53,7479.39,97,15,57.8
43.24,0.18,47.15,4.49,6479.34,60,13,58.03
89.44,18.09,99.1,0.43,7538.57,66,13,52.35
77.5,58.32,45.14,4.08,5892.9,100,4,63.1
80.44,97.45,64.38,4.04,7156.14,84,10,68.3
33.86,84.57,98.05,0.39,4923.84,93,0,41.81
85.82,58.43,30.73,0.17,5558.22,82,11,52.52
60.39,71.45,79.19,2.18,6135.88,45,8,58.02
12.86,32.5,52.63,2.2,6506.48,76,3,47.69
81.29,82.92,43.16,2.9,4575.54,82,4,62.86
60.54,37.25,1.68,0.34,6383.63,60,1,40.8
32.77,88.7,25.24,3.56,6633.55,24,7,57.54
57.65,28.21,14.93,4.47,4096.0,23,5,59.99
79.11,25.49,7.45,2.38,7762.33,81,2,53.58
72.11,82.43,38.02,0.54,7560.31,37,10,54.2
36.9,30.39,46.11,2.44,6754.37,85,6,53.02
22.1,83.44,38.04,1.38,7979.13,38,0,49.6
27.83,88.77,76.43,2.75,7807.76,52,2,53.24
25.12,19.21,70.13,1.62,7999.29,71,15,50.24
78.02,86.61,66.44,0.35,7860.9,35,12,53.83
81.56,28.1,73.14,1.66,3044.93,25,11,53.3
28.69,73.75,82.61,2.84,7472.58,28,1,58.62
5.38,0.82,52.81,0.53,6602.58,36,1,39.29
49.41,1.88,93.95,4.35,6028.69,10,7,60.06
55.27,88.63,84.37,1.88,5380.57,30,14,58.98
72.81,57.54,69.75,1.21,5278.92,32,2,53.03
30.3,55.1,16.88,1.03,4157.2,13,7,42.84
16.07,21.52,42.63,1.78,5198.11,31,3,42.08
82.14,71.53,24.05,3.38,7715.11,51,7,63.78
28.21,90.37,8.82,1.88,4697.78,43,3,47.44
43.74,40.11,53.21,1.53,6107.25,43,1,45.57
32.36,36.25,91.34,0.11,6509.13,86,10,38.28
90.96,97.08,0.38,0.97,4648.69,14,2,48.29
98.07,7.7,57.93,2.42,3102.95,68,1,55.18
43.82,53.09,82.23,2.94,3219.08,61,12,57.0
60.23,81.38,54.97,1.66,6703.92,4,0,53.25
90.66,81.79,96.33,3.03,3890.41,10,4,62.68
38.53,93.45,34.45,2.44,6195.77,67,4,57.35
11.22,97.68,62.51,4.74,4371.17,61,1,63.03
86.04,42.08,40.12,1.6,3887.76,22,0,54.34
84.72,18.41,33.29,4.62,4542.33,84,5,65.11
45.01,28.92,24.32,1.28,7194.9,49,5,41.26
83.03,50.93,18.89,4.62,3861.11,43,1,61.83
80.76,37.79,42.79,3.61,6349.65,37,10,64.62
23.05,41.95,24.75,3.2,6506.45,98,9,53.73
83.19,62.81,65.05,2.82,5550.11,58,11,58.06
20.99,16.73,70.61,1.11,3470.68,85,5,42.17
19.64,22.49,13.32,3.62,3711.04,96,0,46.98
88.79,51.1,2.79,0.41,4795.15,3,1,48.59
65.91,44.87,95.23,2.34,7943.44,26,1,55.17
9.24,20.51,40.52,3.56,6947.21,36,0,47.11
11.74,69.39,58.01,1.51,7890.82,55,7,46.23
47.51,34.8,64.98,4.39,6379.19,29,0,60.84
30.27,37.34,5.6,3.0,7136.04,22,3,49.54
66.63,85.82,61.78,1.48,5027.86,2,6,54.0
77.09,58.09,49.57,4.0,7680.53,95,5,61.63
28.54,36.77,80.83,2.32,4690.67,50,15,50.37
71.03,27.58,74.21,0.14,4451.41,90,6,43.88
47.05,40.07,42.03,1.56,6097.34,76,5,46.05
25.07,5.22,60.71,4.45,6986.98,28,8,61.56
28.5,63.5,1.46,4.2,5520.82,72,9,52.26
73.84,97.2,26.32,0.43,4137.55,61,15,51.83
81.68,80.75,92.47,1.14,5535.3,104,2,51.4
96.58,7.74,41.78,2.11,7348.38,1,3,58.6
51.72,9.3,86.61,4.6,4368.79,40,12,68.59
69.85,22.4,37.98,4.93,5948.5,55,2,61.64
50.2,17.82,50.52,4.87,4104.29,15,11,66.14
97.05,35.26,4.88,3.34,4453.07,93,3,58.55
37.95,24.0,28.23,4.77,3129.57,57,3,57.08
82.7,91.37,47.14,2.84,6586.64,59,4,63.46
99.13,61.09,90.25,2.47,4279.48,81,13,60.71
91.28,11.88,85.15,4.78,6308.25,50,13,70.59
32.65,60.01,79.4,1.63,6414.42,26,0,51.14
9.56,75.47,1.66,0.98,6910.27,40,3,37.31
50.79,37.65,30.47,2.36,4326.01,93,4,51.57
34.25,40.03,70.83,3.15,5941.94,6,13,56.44
11.35,75.57,23.06,4.38,7959.18,30,11,61.82
6.94,4.27,95.32,2.56,7249.2,67,7,51.21
68.55,33.79,27.2,2.48,5494.13,70,11,54.5
10.1,62.92,74.68,4.96,4644.74,9,14,65.06
17.94,41.22,68.44,2.29,7312.32,40,0,50.77
19.16,64.56,53.06,0.2,7364.04,40,11,42.55
65.64,11.51,18.24,1.32,6976.84,86,13,47.13
64.8,35.55,87.8,3.74,3250.37,74,1,57.89
64.2,74.61,32.92,2.28,3583.21,96,12,52.06
60.13,56.99,15.81,4.28,6677.13,21,12,63.82
95.37,14.68,72.5,3.91,6418.51,45,4,62.39
17.0,90.18,67.22,2.62,4983.15,59,1,47.82
23.42,3.84,15.32,4.97,7174.62,37,10,57.45
24.89,70.67,12.25,0.54,7540.37,96,3,44.21
66.46,69.61,7.31,0.26,6912.55,89,11,46.25
91.2,14.76,78.89,4.26,5715.79,46,4,65.72
8.69,48.53,62.85,4.39,3309.17,92,5,55.94
85.59,27.34,55.64,1.55,7715.87,54,1,47.72
67.88,53.99,96.44,2.47,7351.98,2,14,59.6
65.39,49.67,5.17,3.91,7734.4,94,1,56.08
78.57,86.78,47.49,1.13,4364.3,25,1,54.44
65.52,35.79,58.69,4.52,5177.55,53,14,64.89
1.5,82.04,12.1,4.02,3440.18,86,1,47.55
67.49,1.29,17.57,1.0,3512.73,31,4,49.72
67.57,45.35,33.08,2.74,7730.94,93,13,53.25
62.27,43.61,21.68,1.25,6662.09,76,12,46.11
32.59,24.36,14.65,0.63,7576.85,11,8,42.06
62.6,44.95,81.1,0.71,5304.3,16,11,51.53
75.3,77.83,73.15,4.58,6497.48,69,14,68.55
94.54,39.53,37.83,2.77,6402.55,75,1,60.63
58.03,43.7,93.57,2.18,7800.2,31,4,58.01
48.43,21.66,94.66,2.58,5188.27,67,12,55.11
28.2,25.05,10.64,2.45,3735.32,70,13,47.66
27.71,88.35,64.63,2.59,5598.23,16,13,57.63
75.99,80.77,91.04,0.84,7342.36,68,15,59.59
18.37,83.06,10.58,3.21,6278.79,45,13,53.58
49.46,28.48,74.3,1.31,6954.69,94,1,47.23
28.93,95.87,11.04,3.01,6267.57,87,11,56.87
5.17,33.2,34.07,1.88,5322.53,17,13,45.74
82.56,64.59,98.99,1.79,7857.31,88,1,53.13
40.36,92.87,79.89,1.99,4814.9,47,13,58.16
23.43,76.57,71.78,0.19,6387.04,75,0,41.97
10.91,13.74,49.94,4.15,4150.65,38,7,53.37
10.42,6.98,53.61,0.95,3770.65,34,7,37.05
72.0,97.7,92.1,0.55,3160.92,64,5,53.21
50.08,54.03,79.99,2.64,3578.85,59,10,56.79
9.71,83.35,80.37,3.58,7034.77,63,14,53.66
53.4,48.93,43.34,0.49,3781.17,37,1,47.51
40.58,0.33,29.39,0.97,5010.56,91,4,41.59
35.69,81.16,35.73,4.93,6431.18,18,8,64.72
91.12,33.06,87.42,3.32,7924.44,22,4,64.49
27.31,51.87,86.87,3.2,6051.59,7,5,56.57
24.19,28.64,74.84,1.1,3023.74,72,1,43.61
33.14,50.77,35.13,4.61,4335.8,93,11,58.46
62.8,56.07,99.04,2.9,7448.27,53,10,61.44
90.05,74.88,15.15,4.6,7335.06,75,9,71.52
37.31,23.33,21.64,2.39,6520.15,38,14,51.46
4.43,66.61,78.45,2.61,3811.19,71,6,52.17
48.64,92.83,50.64,0.87,3054.08,66,12,46.31
35.71,62.84,60.22,3.02,4936.91,61,3,56.6
58.68,30.69,49.79,3.76,6733.66,53,4,55.19
39.29,45.97,8.12,0.77,3303.97,29,9,43.93
61.24,75.38,57.63,1.18,7684.53,12,5,54.45
41.9,81.74,94.01,1.47,4162.27,19,7,54.9
26.5,10.34,6.15,0.74,6535.81,1,13,44.38
12.13,53.37,8.15,2.64,4714.92,40,2,49.18
84.86,24.64,21.83,3.65,3031.11,22,5,60.33
46.87,1.83,34.38,3.75,6435.86,25,7,57.91
69.5,13.92,49.04,0.27,3791.11,104,3,44.11
91.7,3.02,25.76,0.39,6875.05,7,11,48.56
48.4,31.11,38.0,4.72,7208.12,58,7,63.54
25.19,70.72,24.8,3.55,7675.31,11,0,57.08
85.95,12.95,64.46,0.71,5548.68,21,1,45.22
0.52,28.6,81.23,3.23,7347.03,53,3,48.95
16.84,95.59,6.81,4.12,6207.83,71,7,56.8
21.03,21.34,41.13,4.84,5113.12,90,2,53.78
37.3,75.94,47.97,3.68,3506.57,0,15,59.86
17.97,23.38,68.76,4.69,6070.23,99,10,57.05
75.19,24.07,87.12,4.55,4460.53,69,1,63.8
86.0,33.47,75.71,3.55,7385.5,2,1,59.69
28.49,35.75,30.03,1.7,5537.95,94,12,43.01
63.23,28.33,12.05,0.13,7279.87,53,12,43.0
93.36,98.54,36.15,1.62,5526.04,58,8,57.46
6.4,86.28,44.23,0.35,7941.87,26,3,37.5
37.9,30.7,27.27,2.15,3649.72,32,5,44.48
70.09,33.38,90.12,2.84,6189.7,36,10,58.8
6.2,58.12,7.93,2.27,7848.71,89,7,45.88
51.6,2.84,33.93,2.82,5188.7,9,4,52.55
57.14,94.32,97.08,0.22,6374.12,101,15,54.64
44.98,70.2,37.62,2.58,6644.39,90,2,55.79
13.49,68.57,22.82,3.4,6052.46,89,6,52.14
77.76,3.51,84.06,3.31,3484.28,17,14,62.8
80.8,5.79,4.17,1.26,6328.96,61,0,42.82
14.31,0.51,40.13,4.01,4136.18,82,0,48.52
32.25,10.0,67.77,4.04,6773.88,80,7,56.22
83.98,91.79,2.85,3.09,3036.87,40,10,58.67
3.82,43.9,10.0,2.28,5864.4,67,6,42.85
61.53,86.92,9.33,0.33,4249.64,79,1,42.57
67.27,61.22,16.06,2.15,4380.81,45,12,57.96
16.08,66.54,21.05,3.03,4773.15,76,6,52.63
89.94,85.81,37.19,2.31,4764.63,17,14,65.38
4.87,24.33,89.7,2.75,5894.64,55,7,52.4
